# iterations	 errorinentropy	 maxerror
6.831e+09	1.536	25.87
6.844e+09	1.535	25.87
6.858e+09	1.535	25.87
6.871e+09	1.539	25.87
6.885e+09	1.539	25.86
6.898e+09	1.538	25.86
6.912e+09	1.538	25.86
6.925e+09	1.537	25.85
6.939e+09	1.539	25.85
6.952e+09	1.538	25.85
6.966e+09	1.539	25.84
6.979e+09	1.538	25.84
6.993e+09	1.537	25.83
7.006e+09	1.537	25.83
7.02e+09	1.537	25.83
7.033e+09	1.536	25.83
7.047e+09	1.535	25.82
7.06e+09	1.534	25.82
7.074e+09	1.533	25.81
7.087e+09	1.533	25.81
7.101e+09	1.535	25.8
7.114e+09	1.538	25.8
7.128e+09	1.537	25.79
7.141e+09	1.537	25.79
7.155e+09	1.536	25.78
7.168e+09	1.535	25.78
7.182e+09	1.535	25.78
7.195e+09	1.534	25.77
7.209e+09	1.533	25.77
7.222e+09	1.533	25.77
7.236e+09	1.532	25.77
7.249e+09	1.532	25.76
7.263e+09	1.531	25.76
7.276e+09	1.531	25.76
7.29e+09	1.53	25.76
7.303e+09	1.529	25.75
7.317e+09	1.528	25.75
7.33e+09	1.528	25.75
7.344e+09	1.527	25.75
7.358e+09	1.527	25.74
7.371e+09	1.526	25.74
7.385e+09	1.525	25.74
7.398e+09	1.524	25.73
7.412e+09	1.583	26.1
7.425e+09	1.582	26.1
7.439e+09	1.583	26.08
7.452e+09	1.582	26.08
7.466e+09	1.581	26.08
7.479e+09	1.591	26.03
7.493e+09	1.594	26.02
7.506e+09	1.594	26.02
7.52e+09	1.592	26.01
7.533e+09	1.592	26.01
7.547e+09	1.591	26
7.56e+09	1.591	26
7.573e+09	1.589	26
7.587e+09	1.589	26
7.601e+09	1.588	25.99
7.614e+09	1.587	25.99
7.627e+09	1.587	25.99
7.641e+09	1.586	25.98
7.654e+09	1.591	25.96
7.668e+09	1.591	25.95
7.681e+09	1.59	25.95
7.695e+09	1.589	25.95
7.708e+09	1.588	25.94
7.722e+09	1.587	25.94
7.735e+09	1.586	25.94
7.749e+09	1.585	25.93
7.762e+09	1.584	25.93
7.776e+09	1.583	25.93
7.789e+09	1.582	25.92
7.803e+09	1.584	25.92
7.816e+09	1.584	25.92
7.83e+09	1.583	25.92
7.843e+09	1.582	25.92
7.857e+09	1.581	25.92
7.87e+09	1.581	25.91
7.884e+09	1.579	25.91
7.897e+09	1.578	25.91
7.911e+09	1.578	25.9
7.924e+09	1.578	25.9
7.938e+09	1.577	25.89
7.951e+09	1.579	25.89
7.965e+09	1.579	25.89
7.978e+09	1.578	25.89
7.992e+09	1.578	25.88
8.005e+09	1.577	25.88
8.019e+09	1.581	25.87
8.032e+09	1.58	25.87
8.046e+09	1.579	25.86
8.059e+09	1.578	25.86
8.073e+09	1.578	25.86
8.086e+09	1.577	25.86
8.1e+09	1.575	25.85
8.113e+09	1.577	25.86
8.127e+09	1.576	25.85
8.14e+09	1.576	25.85
8.154e+09	1.574	25.84
8.167e+09	1.573	25.84
8.181e+09	1.573	25.84
8.194e+09	1.576	25.83
8.208e+09	1.576	25.83
8.221e+09	1.575	25.83
8.235e+09	1.574	25.83
8.248e+09	1.573	25.82
8.262e+09	1.572	25.82
8.275e+09	1.571	25.82
8.289e+09	1.571	25.81
8.302e+09	1.571	25.81
8.316e+09	1.57	25.81
8.329e+09	1.569	25.8
8.343e+09	1.567	25.8
8.356e+09	1.566	25.8
8.369e+09	1.566	25.79
8.383e+09	1.564	25.79
8.396e+09	1.563	25.78
8.41e+09	1.563	25.77
